stopId,code,stop_name,type,zone,ward,address,street,support_disability,status,lng,lat,search,routes
1933,QBT 083,Hương lộ 2,Trụ dừng,Quận Bình Tân,,854,Quốc lộ 1A,,Đang khai thác,106.592377,10.775476,Hl2 854 Ql1A,"151, 60-1"
1935,QBT 084,Qua ngã tư Hương lộ 2,Trụ dừng,Quận Bình Tân,Phường Bình Trị Đông A,892,Quốc lộ 1A,,Đang khai thác,106.591667,10.77234,QntHl2 892 Ql1A,"151, 60-1"
7177,QBT 284,Hồ Học Lãm,Trụ dừng,Quận Bình Tân,Phường An Lạc,Siêu thị Big C,Hồ Học Lãm,,Đang khai thác,106.603839,10.733414,HHL StBC HHL,151
1936,BX 56,Khu dân cư Trung Sơn,Bến xe,Huyện Bình Chánh,Xã Bình Hưng,Khu dân cư Trung Sơn,Đường số 10,,Đang khai thác,106.689041,10.733988,KdcTS KdcTS Ds10,152
1943,HBC 455,Thảo Loan PLAZA,Trụ dừng,Huyện Bình Chánh,,Citizen.TS (Thảo Loan PLAZA),Đường 9A,,Đang khai thác,106.689247,10.731042,TLP C(LP D9A,152
1938,HBC 457,Thảo Loan Plaza,Ô sơn,Huyện Bình Chánh,,297-295 (259),Đường 9A,,Đang khai thác,106.689598,10.731611,TLP 297-295( D9A,152
1940,HBC 456,Vòng xoay cầu Him Lam,Ô sơn,Huyện Bình Chánh,,49-51 (Kế 53),Đường 9A,,Đang khai thác,106.689766,10.737783,VxcHL 49-51(53) D9A,152
1946,Q8 049,Trường Rạch Ông,Trụ dừng,Quận 8,,Cửa hàng Đăng Khoa,Dương Bá Trạc,,Đang khai thác,106.689343,10.744877,TRO ChDK DBT,152
1942,Q8 050,Trường Dương Bá Trạc,Ô sơn,Quận 8,,129-131,Dương Bá Trạc,,Đang khai thác,106.689268,10.746537,TDBT 129-131 DBT,152
1947,Q8 047,Trường Dương Bá Trạc,Ô sơn,Quận 8,,158-160,Dương Bá Trạc,,Đang khai thác,106.688544,10.747844,TDBT 158-160 DBT,152
1951,Q8 048,Trường Rạch Ông,Trụ dừng,Quận 8,,290A/15,Dương Bá Trạc,,Đang khai thác,106.689059,10.745009,TRO 290A/15 DBT,152
1953,HBC 454,Vòng xoay cầu Him Lam,Ô sơn,Huyện Bình Chánh,,28-30 (128),Đường 9A,,Đang khai thác,106.689413,10.738057,VxcHL 28-30( D9A,152
